;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
bei-jing-jing-ji-ji-shu-xue-yuan 北京经济技术学院
bei-jing-jing-li-xue-yuan 北京经理学院
bei-jing-jing-mao-da-xue 北京经贸大学
bei-jing-jing-mao-zhi-ye-xue-yuan 北京经贸职业学院
bei-jing-jing-qiao-da-xue 北京京桥大学
bei-jing-jun-di-zhuan-xiu-xue-yuan 北京军地专修学院
bei-jing-ke-ji-da-xue 北京科技大学
bei-jing-ke-ji-jing-ying-guan-li-xue-yuan 北京科技经营管理学院
bei-jing-ke-ji-yan-xiu-xue-yuan 北京科技研修学院
bei-jing-ke-ji-zhi-ye-xue-yuan 北京科技职业学院
bei-jing-lao-dong-bao-zhang-zhi-ye-xue-yuan 北京劳动保障职业学院
bei-jing-li-gong-da-xue 北京理工大学
bei-jing-li-yi-zhuan-xiu-xue-yuan 北京礼仪专修学院
bei-jing-lian-he-da-xue 北京联合大学
bei-jing-lin-ye-da-xue 北京林业大学
bei-jing-lin-ye-guan-li-gan-bu-xue-yuan 北京林业管理干部学院
bei-jing-mei-guo-jia-zhou-da-xue 北京美国加州大学
bei-jing-mei-guo-ying-yu-yu-yan-xue-yuan 北京美国英语语言学院
bei-jing-mei-guo-yu-xue-yuan 北京美国语学院
bei-jing-min-zu-da-xue 北京民族大学
bei-jing-ming-yuan-da-xue 北京明园大学
bei-jing-nong-xue-yuan 北京农学院
bei-jing-nong-ye-guang-bo-xue-xiao 北京农业广播学校
bei-jing-nong-ye-xue-yuan 北京农业学院
bei-jing-nong-ye-zhi-ye-xue-yuan 北京农业职业学院
bei-jing-pei-li-da-xue 北京培黎大学
bei-jing-pei-li-zhi-ye-xue-yuan 北京培黎职业学院
bei-jing-qing-gong-zhi-ye-ji-shu-xue-yuan 北京轻工职业技术学院
bei-jing-qing-nian-zheng-zhi-xue-yuan 北京青年政治学院
bei-jing-ren-min-jing-cha-xue-yuan 北京人民警察学院
bei-jing-ren-wen-da-xue 北京人文大学
bei-jing-shang-xue-yuan 北京商学院
bei-jing-she-hui-ke-xue-yuan 北京社会科学院
bei-jing-she-wai-jing-ji-xue-yuan 北京涉外经济学院
bei-jing-she-ying-han-shou-xue-yuan 北京摄影函授学院
bei-jing-sheng-wu-yan-xiu-xue-yuan 北京生物研修学院
bei-jing-shi-cai-mao-guan-li-gan-bu-xue-yuan 北京市财贸管理干部学院
bei-jing-shi-chang-ping-qu-jiao-shi-jin-xiu-xue-yuan 北京市昌平区教师进修学院
bei-jing-shi-chang-ping-qu-jiao-yu-dang-xiao 北京市昌平区教育党校
bei-jing-shi-chao-yang-qu-wei-dang-xiao 北京市朝阳区委党校
bei-jing-shi-chong-wen-qu-wei-sheng-ju-dang-xiao 北京市崇文区卫生局党校
bei-jing-shi-da-xing-qu-li-xian-zhen-cheng-ren-xue-yuan 北京市大兴区礼贤镇成人学院
bei-jing-shi-da-xing-qu-she-qu-xue-yuan 北京市大兴区社区学院
bei-jing-shi-di-san-ren-min-jing-cha-xue-yuan 北京市第三人民警察学院
bei-jing-shi-dian-zi-ke-ji-zhi-ye-xue-yuan 北京市电子科技职业学院
bei-jing-shi-dong-cheng-qu-zhi-gong-da-xue 北京市东城区职工大学
bei-jing-shi-fa-guan-jin-xiu-xue-yuan 北京市法官进修学院
bei-jing-shi-fan-da-xue 北京师范大学
bei-jing-shi-fang-di-chan-zhi-gong-da-xue 北京市房地产职工大学
bei-jing-shi-fang-shan-qu-lao-gan-bu-da-xue 北京市房山区老干部大学
bei-jing-shi-fang-zhi-ju-zhi-gong-da-xue 北京市纺织局职工大学
